sample_id,Ice 1e6 A,Ice 1e6 B,Ice 1e6 C,Initial 1e5 A,Initial 1e5 B,Initial 1e5 C,Initial 1e6 A,Initial 1e6 B,Initial 1e6 C,Initial 2e4 A,Initial 2e4 B,Initial 2e4 C,Initial 5e4 A,Initial 5e4 B,Initial 5e4 C,Initial 5e5 A,Initial 5e5 B,Initial 5e5 C,Sep 1e6 A,Sep 1e6 B,Sep 1e6 C
cell_type,Ice 1e6,Ice 1e6,Ice 1e6,Initial 1e5,Initial 1e5,Initial 1e5,Initial 1e6,Initial 1e6,Initial 1e6,Initial 2e4,Initial 2e4,Initial 2e4,Initial 5e4,Initial 5e4,Initial 5e4,Initial 5e5,Initial 5e5,Initial 5e5,Sep 1e6,Sep 1e6,Sep 1e6
Pyridoxine,3.51E+04,4.02E+04,3.27E+04,1.00E+06,8.48E+05,7.98E+05,4.12E+06,5.19E+06,3.72E+06,3.29E+05,1.51E+05,3.92E+05,5.87E+05,3.34E+05,3.21E+05,2.50E+06,1.88E+06,2.23E+06,1.00E+03,1.00E+03,1.00E+03
Pyroglutamic acid,1.23E+05,1.13E+05,1.10E+05,1.20E+05,1.17E+05,1.19E+05,6.96E+05,7.66E+05,7.11E+05,3.95E+04,3.86E+04,7.21E+04,9.35E+04,6.73E+04,6.52E+04,4.34E+05,2.77E+05,3.96E+05,3.38E+04,3.37E+04,5.34E+04
Quinolinic acid_pos-125,1.00E+03,1.00E+03,1.00E+03,1.14E+05,1.39E+05,9.90E+04,4.78E+05,5.15E+05,4.11E+05,1.26E+05,1.24E+05,2.36E+05,1.22E+05,1.64E+05,8.97E+04,3.07E+05,3.31E+05,2.76E+05,1.00E+03,1.00E+03,1.00E+03
S-Adenosylmethionine,5.60E+04,3.51E+04,5.55E+04,1.00E+03,1.00E+03,1.00E+03,3.14E+04,2.40E+04,2.64E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,8.32E+03,2.36E+04,1.34E+04,5.46E+04,2.41E+04,4.67E+04
Shikimic acid,1.61E+05,1.14E+05,1.89E+05,4.33E+05,5.57E+05,7.45E+05,4.18E+06,4.28E+06,3.94E+06,1.70E+05,1.15E+05,3.94E+05,3.75E+05,2.74E+05,4.15E+05,1.76E+06,1.87E+06,2.21E+06,1.07E+05,8.97E+04,1.31E+05
S-Lactoylglutathione,2.47E+05,1.89E+05,1.41E+05,1.00E+03,1.00E+03,1.00E+03,1.18E+05,8.88E+04,1.15E+05,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,6.50E+04,1.17E+05,8.81E+04,8.23E+04,1.00E+03,5.02E+04
Spermidine,1.77E+05,4.69E+05,2.19E+05,1.34E+05,1.14E+05,1.19E+05,1.57E+05,2.24E+05,1.44E+05,3.98E+04,2.03E+04,2.59E+04,1.02E+05,6.43E+04,1.45E+05,2.44E+05,3.14E+05,1.91E+05,8.60E+04,3.18E+05,3.20E+05
Succinic acid,4.75E+06,5.30E+06,5.73E+06,4.59E+06,3.86E+06,3.87E+06,5.71E+06,6.02E+06,5.63E+06,2.46E+06,2.11E+06,4.98E+06,3.62E+06,2.72E+06,3.71E+06,5.21E+06,3.88E+06,5.42E+06,5.20E+06,4.56E+06,5.10E+06
Taurine,8.58E+04,4.49E+04,7.82E+04,1.00E+03,1.00E+03,1.00E+03,7.93E+04,9.99E+04,6.87E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,3.33E+04,3.10E+04,3.10E+04,1.00E+03,1.80E+04,3.28E+04
Tetradecanoylcarnitine,4.16E+04,3.31E+04,4.16E+04,7.02E+04,4.23E+04,4.45E+04,1.00E+03,1.00E+03,2.41E+04,2.03E+04,2.66E+04,7.22E+04,3.47E+04,5.45E+04,2.22E+04,3.88E+04,4.30E+04,4.35E+04,1.00E+03,4.44E+04,3.63E+04
Thiamine,6.38E+04,5.18E+04,6.75E+04,1.15E+05,1.54E+05,2.35E+05,7.64E+05,1.29E+06,1.36E+06,7.17E+04,1.34E+04,7.68E+04,1.05E+05,4.67E+04,5.32E+04,5.43E+05,4.50E+05,8.26E+05,4.30E+04,2.59E+04,3.42E+04
Thymidine,1.00E+03,1.00E+03,2.31E+04,2.30E+05,1.00E+03,1.00E+03,4.58E+04,7.08E+04,9.94E+04,1.00E+03,1.34E+04,4.74E+05,1.00E+03,1.00E+03,1.00E+03,3.75E+04,8.74E+04,7.35E+04,1.00E+03,4.02E+04,1.00E+03
Uridine,1.00E+03,1.00E+03,1.00E+03,2.45E+04,1.00E+03,1.00E+03,1.99E+04,1.48E+04,1.62E+04,1.00E+03,1.00E+03,3.98E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.48E+04,1.48E+04,1.00E+03,1.00E+03,1.00E+03
